datetime,open,high,low,close,volume,timestamp
2025-10-29 14:00:00+00:00,3.1191,3.1218,3.106,3.1171,13568.5561,1761746400000
2025-10-29 15:00:00+00:00,3.1208,3.1219,3.0732,3.0827,11380.7697,1761750000000
2025-10-29 16:00:00+00:00,3.0783,3.1078,3.0711,3.0985,7555.8962,1761753600000
2025-10-29 17:00:00+00:00,3.0985,3.156,3.0985,3.156,7252.2969,1761757200000
2025-10-29 18:00:00+00:00,3.1477,3.1625,3.0371,3.1185,35981.00585876,1761760800000
2025-10-29 19:00:00+00:00,3.1188,3.1527,3.1113,3.1468,12597.9761,1761764400000
2025-10-29 20:00:00+00:00,3.1455,3.1779,3.13,3.1667,8826.2412,1761768000000
2025-10-29 21:00:00+00:00,3.159,3.1626,3.1431,3.1439,4340.4495,1761771600000
2025-10-29 22:00:00+00:00,3.141,3.1501,3.1335,3.1346,1158.17637231,1761775200000
2025-10-29 23:00:00+00:00,3.1325,3.1325,3.0861,3.0974,5179.3954,1761778800000
2025-10-30 00:00:00+00:00,3.1066,3.1113,3.0905,3.1113,1278.9225,1761782400000
2025-10-30 01:00:00+00:00,3.1083,3.1096,3.0965,3.099,2697.6648,1761786000000
2025-10-30 02:00:00+00:00,3.1005,3.1178,3.0982,3.1156,725.9046,1761789600000
2025-10-30 03:00:00+00:00,3.109,3.1097,3.0917,3.096,3318.2563,1761793200000
2025-10-30 04:00:00+00:00,3.0909,3.0914,3.0009,3.0309,9018.7354,1761796800000
2025-10-30 05:00:00+00:00,3.03,3.0841,3.03,3.0839,1490.7487,1761800400000
2025-10-30 06:00:00+00:00,3.077,3.1076,3.0641,3.1033,7214.2918,1761804000000
2025-10-30 07:00:00+00:00,3.103,3.1543,3.103,3.1249,15853.2481,1761807600000
2025-10-30 08:00:00+00:00,3.1245,3.1277,3.0953,3.096,3617.6617,1761811200000
2025-10-30 09:00:00+00:00,3.0961,3.0977,3.0675,3.0763,3734.3341,1761814800000
2025-10-30 10:00:00+00:00,3.069,3.0815,3.0526,3.0638,27238.6594,1761818400000
2025-10-30 11:00:00+00:00,3.0593,3.0665,3.0409,3.0415,9162.7919,1761822000000
2025-10-30 12:00:00+00:00,3.0436,3.0483,2.9924,3.01,17621.9573,1761825600000
2025-10-30 13:00:00+00:00,3.0095,3.0136,2.9532,2.9604,12664.6426,1761829200000
2025-10-30 14:00:00+00:00,2.9665,2.9879,2.9612,2.9708,8585.816,1761832800000
2025-10-30 15:00:00+00:00,2.9676,2.9745,2.9219,2.9264,11478.3906,1761836400000
2025-10-30 16:00:00+00:00,2.927,2.9391,2.907,2.9306,26759.7005,1761840000000
2025-10-30 17:00:00+00:00,2.9262,2.9408,2.899,2.927,14385.0303,1761843600000
2025-10-30 18:00:00+00:00,2.9246,2.931,2.875,2.8823,18331.2918,1761847200000
2025-10-30 19:00:00+00:00,2.8833,2.8904,2.8543,2.8599,21033.7712,1761850800000
2025-10-30 20:00:00+00:00,2.8609,2.9065,2.8609,2.9065,19958.1994,1761854400000
2025-10-30 21:00:00+00:00,2.9024,3.022,2.9008,2.9339,109600.4354,1761858000000
2025-10-30 22:00:00+00:00,2.9389,3.0198,2.9354,2.9728,88370.1054,1761861600000
2025-10-30 23:00:00+00:00,2.9728,2.9773,2.9462,2.9554,23736.8563,1761865200000
2025-10-31 00:00:00+00:00,2.9508,2.9898,2.9366,2.9744,61434.9773,1761868800000
2025-10-31 01:00:00+00:00,2.9787,2.9995,2.9787,2.9984,10184.9785,1761872400000
2025-10-31 02:00:00+00:00,2.9994,3.0,2.9722,2.9828,7914.7052,1761876000000
2025-10-31 03:00:00+00:00,2.9887,3.0108,2.9815,2.9969,7506.8107,1761879600000
2025-10-31 04:00:00+00:00,3.0033,3.0187,3.0006,3.0131,4902.5898,1761883200000
2025-10-31 05:00:00+00:00,3.0044,3.006,2.985,2.9863,4130.0637,1761886800000
2025-10-31 06:00:00+00:00,2.9894,2.9905,2.9827,2.9857,1257.6682,1761890400000
2025-10-31 07:00:00+00:00,2.9933,2.9995,2.9811,2.9881,829.9281,1761894000000
2025-10-31 08:00:00+00:00,2.9863,3.0162,2.9854,3.0162,21507.6694,1761897600000
2025-10-31 09:00:00+00:00,3.0147,3.0147,2.9903,2.9918,3422.1622,1761901200000
2025-10-31 10:00:00+00:00,2.9916,3.0033,2.9916,2.9999,2003.0616,1761904800000
2025-10-31 11:00:00+00:00,2.9955,3.0161,2.9869,3.0161,7150.1116,1761908400000
2025-10-31 12:00:00+00:00,3.0162,3.031,3.0091,3.0114,12061.3095,1761912000000
2025-10-31 13:00:00+00:00,3.0124,3.0172,2.9831,3.0085,12253.1543,1761915600000
2025-10-31 14:00:00+00:00,3.0056,3.0267,2.9933,3.0262,12968.2133,1761919200000
2025-10-31 15:00:00+00:00,3.0226,3.0366,3.007,3.0104,14449.4295,1761922800000
2025-10-31 16:00:00+00:00,3.009,3.0149,2.9567,2.9611,31288.9225,1761926400000
2025-10-31 17:00:00+00:00,2.9572,2.9745,2.9416,2.9653,34250.5912,1761930000000
2025-10-31 18:00:00+00:00,2.9674,2.9823,2.951,2.97,11980.7101,1761933600000
2025-10-31 19:00:00+00:00,2.9653,3.0019,2.9512,2.993,14619.7511,1761937200000
2025-10-31 20:00:00+00:00,2.9886,2.9944,2.9687,2.9709,33032.8649,1761940800000
2025-10-31 21:00:00+00:00,2.9679,2.9771,2.9643,2.9672,6796.7258,1761944400000
2025-10-31 22:00:00+00:00,2.9661,3.0359,2.9661,2.9775,66775.4009,1761948000000
2025-10-31 23:00:00+00:00,2.9752,2.9768,2.9636,2.9636,12082.8156,1761951600000
2025-11-01 00:00:00+00:00,2.9664,2.9694,2.9558,2.9683,7479.342,1761955200000
2025-11-01 01:00:00+00:00,2.9664,2.9757,2.9603,2.9603,1126.2506,1761958800000
2025-11-01 02:00:00+00:00,2.9599,2.9706,2.9479,2.9679,3562.2318,1761962400000
2025-11-01 03:00:00+00:00,2.9723,2.985,2.9723,2.9794,2439.9433,1761966000000
2025-11-01 04:00:00+00:00,2.9796,2.9796,2.9678,2.9736,430.2665,1761969600000
2025-11-01 05:00:00+00:00,2.9685,2.9685,2.9585,2.9623,5563.5249,1761973200000
2025-11-01 06:00:00+00:00,2.9654,2.9715,2.96,2.9715,918.0175,1761976800000
2025-11-01 07:00:00+00:00,2.9737,3.0127,2.9725,3.0102,4856.0441,1761980400000
2025-11-01 08:00:00+00:00,3.0104,3.0214,2.9936,3.0128,6617.6774,1761984000000
2025-11-01 09:00:00+00:00,3.0103,3.018,2.9936,2.9986,5251.44807484,1761987600000
2025-11-01 10:00:00+00:00,2.9993,3.0174,2.9969,3.0098,7539.1618,1761991200000
2025-11-01 11:00:00+00:00,3.0098,3.0218,3.0057,3.013,10691.7088,1761994800000
2025-11-01 12:00:00+00:00,3.0174,3.0196,3.0,3.0126,17307.8926,1761998400000
2025-11-01 13:00:00+00:00,3.0159,3.0255,2.999,3.0121,11210.3944,1762002000000
2025-11-01 14:00:00+00:00,3.0132,3.0175,2.9836,2.9927,11704.00725003,1762005600000
2025-11-01 15:00:00+00:00,2.9992,3.0209,2.998,3.0121,12045.6154,1762009200000
2025-11-01 16:00:00+00:00,3.0148,3.0461,3.0106,3.0314,28860.9894,1762012800000
2025-11-01 17:00:00+00:00,3.025,3.0361,3.0235,3.0302,2915.9723,1762016400000
2025-11-01 18:00:00+00:00,3.0275,3.0398,3.0173,3.0398,20770.594,1762020000000
2025-11-01 19:00:00+00:00,3.0377,3.0402,3.0283,3.0306,5994.4387,1762023600000
2025-11-01 20:00:00+00:00,3.0313,3.0487,3.0313,3.0365,5813.1788,1762027200000
2025-11-01 21:00:00+00:00,3.0372,3.0389,3.0121,3.0121,15721.3318,1762030800000
2025-11-01 22:00:00+00:00,3.0186,3.026,3.0142,3.026,1269.8901,1762034400000
2025-11-01 23:00:00+00:00,3.0258,3.0391,3.0203,3.035,18403.0646,1762038000000
2025-11-02 00:00:00+00:00,3.0287,3.0287,3.0074,3.0161,9578.4695,1762041600000
2025-11-02 01:00:00+00:00,3.0149,3.0184,3.0019,3.0078,794.0964,1762045200000
2025-11-02 02:00:00+00:00,3.0077,3.0176,3.0016,3.0035,889.2407,1762048800000
2025-11-02 03:00:00+00:00,3.0002,3.009,2.992,2.9979,11751.8324,1762052400000
2025-11-02 04:00:00+00:00,2.9948,3.0187,2.9925,3.0167,4283.4892,1762056000000
2025-11-02 05:00:00+00:00,3.0175,3.0282,3.0112,3.0277,1333.2965,1762059600000
2025-11-02 06:00:00+00:00,3.0276,3.041,3.0213,3.0316,11889.0517,1762063200000
2025-11-02 07:00:00+00:00,3.0317,3.0598,3.0278,3.0572,10138.8621,1762066800000
2025-11-02 08:00:00+00:00,3.0559,3.0581,3.0381,3.0414,31075.6654,1762070400000
2025-11-02 09:00:00+00:00,3.0442,3.0624,3.036,3.036,14282.4286,1762074000000
2025-11-02 10:00:00+00:00,3.0395,3.0414,3.0121,3.0175,18891.0012,1762077600000
2025-11-02 11:00:00+00:00,3.018,3.0505,3.0137,3.0505,11632.8532,1762081200000
2025-11-02 12:00:00+00:00,3.0506,3.0533,3.0352,3.0457,11988.0187,1762084800000
2025-11-02 13:00:00+00:00,3.0449,3.0501,3.0245,3.0314,24882.9309,1762088400000
2025-11-02 14:00:00+00:00,3.0309,3.0324,2.9661,2.9742,38129.2894,1762092000000
2025-11-02 15:00:00+00:00,2.9704,2.9955,2.9638,2.9831,22531.9447,1762095600000
2025-11-02 16:00:00+00:00,2.9812,2.9896,2.955,2.9864,34019.2142,1762099200000
2025-11-02 17:00:00+00:00,2.9882,2.9884,2.9697,2.976,10342.8748,1762102800000
2025-11-02 18:00:00+00:00,2.9804,2.9862,2.9677,2.9677,23945.2758,1762106400000
2025-11-02 19:00:00+00:00,2.9718,2.9722,2.9572,2.97,2720.8633,1762110000000
2025-11-02 20:00:00+00:00,2.9698,2.9853,2.9653,2.982,3981.2308,1762113600000
2025-11-02 21:00:00+00:00,2.9843,2.9992,2.9829,2.9992,12035.4859,1762117200000
2025-11-02 22:00:00+00:00,2.9991,3.028,2.9982,3.0182,8091.9966,1762120800000
2025-11-02 23:00:00+00:00,3.0212,3.0784,3.0212,3.0545,22208.2921,1762124400000
2025-11-03 00:00:00+00:00,3.0556,3.0618,3.0,3.0,5713.1358,1762128000000
2025-11-03 01:00:00+00:00,3.0,3.0003,2.9572,2.9671,7016.1103,1762131600000
2025-11-03 02:00:00+00:00,2.9668,2.9678,2.925,2.9392,7022.4217,1762135200000
2025-11-03 03:00:00+00:00,2.9338,2.9338,2.8616,2.8672,20176.2522,1762138800000
2025-11-03 04:00:00+00:00,2.8619,2.8771,2.8462,2.8748,8426.9535,1762142400000
2025-11-03 05:00:00+00:00,2.8734,2.8969,2.8413,2.845,6254.0357,1762146000000
2025-11-03 06:00:00+00:00,2.8419,2.8542,2.8153,2.8442,31927.9828,1762149600000
2025-11-03 07:00:00+00:00,2.8445,2.868,2.8363,2.8555,30125.94580019,1762153200000
2025-11-03 08:00:00+00:00,2.8525,2.8567,2.82,2.8351,6400.5066,1762156800000
2025-11-03 09:00:00+00:00,2.8362,2.8611,2.7972,2.7982,24858.6341,1762160400000
2025-11-03 10:00:00+00:00,2.8028,2.8112,2.7518,2.7614,37618.73,1762164000000
2025-11-03 11:00:00+00:00,2.7639,2.7948,2.7639,2.7733,11626.2419,1762167600000
2025-11-03 12:00:00+00:00,2.7761,2.7905,2.7653,2.7653,21858.4469,1762171200000
2025-11-03 13:00:00+00:00,2.7628,2.7947,2.7601,2.7783,17339.6985,1762174800000
2025-11-03 14:00:00+00:00,2.7834,2.8036,2.7645,2.7826,18296.1095,1762178400000
2025-11-03 15:00:00+00:00,2.7874,2.7877,2.62,2.6297,143331.3011,1762182000000
