==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-22 12:38:07
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  A/stop_2 tp_3: count=15, WR=40.0%, Exp=0.394, AvgHold=20.6bars, TP%=40.0%
  A/stop_2 tp_3_wBias: count=15, WR=40.0%, Exp=0.394, AvgHold=20.6bars, TP%=40.0%
  A/stop_2 tp_5: count=15, WR=33.3%, Exp=0.728, AvgHold=22.8bars, TP%=33.3%
  A/stop_2 tp_5_wBias: count=15, WR=33.3%, Exp=0.728, AvgHold=22.8bars, TP%=33.3%
  A/stop_2 tp_7: count=15, WR=13.3%, Exp=0.519, AvgHold=32.3bars, TP%=13.3%
  A/stop_2 tp_7_wBias: count=15, WR=13.3%, Exp=0.519, AvgHold=32.3bars, TP%=13.3%
  A/stop_atr tp_3: count=15, WR=33.3%, Exp=0.181, AvgHold=19.7bars, TP%=33.3%
  A/stop_atr tp_3_wBias: count=15, WR=33.3%, Exp=0.181, AvgHold=19.7bars, TP%=33.3%
  A/stop_atr tp_5: count=15, WR=26.7%, Exp=0.436, AvgHold=20.5bars, TP%=26.7%
  A/stop_atr tp_5_wBias: count=15, WR=26.7%, Exp=0.436, AvgHold=20.5bars, TP%=26.7%
  A/stop_atr tp_7: count=15, WR=13.3%, Exp=0.21, AvgHold=27.0bars, TP%=13.3%
  A/stop_atr tp_7_wBias: count=15, WR=13.3%, Exp=0.21, AvgHold=27.0bars, TP%=13.3%
  B/stop_2 tp_3: count=9, WR=33.3%, Exp=-0.099, AvgHold=16.9bars, TP%=33.3%
  B/stop_2 tp_3_wBias: count=9, WR=33.3%, Exp=-0.099, AvgHold=16.9bars, TP%=33.3%
  B/stop_2 tp_5: count=9, WR=33.3%, Exp=0.568, AvgHold=20.7bars, TP%=33.3%
  B/stop_2 tp_5_wBias: count=9, WR=33.3%, Exp=0.568, AvgHold=20.7bars, TP%=33.3%
  B/stop_2 tp_7: count=9, WR=11.1%, Exp=-0.093, AvgHold=31.4bars, TP%=11.1%
  B/stop_2 tp_7_wBias: count=9, WR=11.1%, Exp=-0.093, AvgHold=31.4bars, TP%=11.1%
  B/stop_atr tp_3: count=9, WR=33.3%, Exp=0.19, AvgHold=12.0bars, TP%=33.3%
  B/stop_atr tp_3_wBias: count=9, WR=33.3%, Exp=0.19, AvgHold=12.0bars, TP%=33.3%
  B/stop_atr tp_5: count=9, WR=33.3%, Exp=0.857, AvgHold=15.8bars, TP%=33.3%
  B/stop_atr tp_5_wBias: count=9, WR=33.3%, Exp=0.857, AvgHold=15.8bars, TP%=33.3%
  B/stop_atr tp_7: count=9, WR=11.1%, Exp=0.196, AvgHold=26.6bars, TP%=11.1%
  B/stop_atr tp_7_wBias: count=9, WR=11.1%, Exp=0.196, AvgHold=26.6bars, TP%=11.1%
  C/stop_2 tp_3: count=7, WR=0.0%, Exp=-1.155, AvgHold=29.3bars, TP%=0.0%
  C/stop_2 tp_3_wBias: count=7, WR=0.0%, Exp=-1.155, AvgHold=29.3bars, TP%=0.0%
  C/stop_2 tp_5: count=7, WR=0.0%, Exp=-1.155, AvgHold=29.3bars, TP%=0.0%
  C/stop_2 tp_5_wBias: count=7, WR=0.0%, Exp=-1.155, AvgHold=29.3bars, TP%=0.0%
  C/stop_2 tp_7: count=7, WR=0.0%, Exp=-1.155, AvgHold=29.3bars, TP%=0.0%
  C/stop_2 tp_7_wBias: count=7, WR=0.0%, Exp=-1.155, AvgHold=29.3bars, TP%=0.0%
  C/stop_atr tp_3: count=7, WR=0.0%, Exp=-1.15, AvgHold=29.1bars, TP%=0.0%
  C/stop_atr tp_3_wBias: count=7, WR=0.0%, Exp=-1.15, AvgHold=29.1bars, TP%=0.0%
  C/stop_atr tp_5: count=7, WR=0.0%, Exp=-1.15, AvgHold=29.1bars, TP%=0.0%
  C/stop_atr tp_5_wBias: count=7, WR=0.0%, Exp=-1.15, AvgHold=29.1bars, TP%=0.0%
  C/stop_atr tp_7: count=7, WR=0.0%, Exp=-1.15, AvgHold=29.1bars, TP%=0.0%
  C/stop_atr tp_7_wBias: count=7, WR=0.0%, Exp=-1.15, AvgHold=29.1bars, TP%=0.0%
  D/stop_2 tp_3: count=3, WR=33.3%, Exp=-0.333, AvgHold=14.3bars, TP%=33.3%
  D/stop_2 tp_3_wBias: count=3, WR=33.3%, Exp=-0.333, AvgHold=14.3bars, TP%=33.3%
  D/stop_2 tp_5: count=3, WR=33.3%, Exp=0.333, AvgHold=15.3bars, TP%=33.3%
  D/stop_2 tp_5_wBias: count=3, WR=33.3%, Exp=0.333, AvgHold=15.3bars, TP%=33.3%
  D/stop_2 tp_7: count=3, WR=0.0%, Exp=-0.922, AvgHold=31.7bars, TP%=0.0%
  D/stop_2 tp_7_wBias: count=3, WR=0.0%, Exp=-0.922, AvgHold=31.7bars, TP%=0.0%
  D/stop_atr tp_3: count=3, WR=33.3%, Exp=-0.055, AvgHold=14.3bars, TP%=33.3%
  D/stop_atr tp_3_wBias: count=3, WR=33.3%, Exp=-0.055, AvgHold=14.3bars, TP%=33.3%
  D/stop_atr tp_5: count=3, WR=33.3%, Exp=0.612, AvgHold=15.3bars, TP%=33.3%
  D/stop_atr tp_5_wBias: count=3, WR=33.3%, Exp=0.612, AvgHold=15.3bars, TP%=33.3%
  D/stop_atr tp_7: count=3, WR=0.0%, Exp=-0.643, AvgHold=31.7bars, TP%=0.0%
  D/stop_atr tp_7_wBias: count=3, WR=0.0%, Exp=-0.643, AvgHold=31.7bars, TP%=0.0%

BNB/USDT:
  A/stop_2 tp_3: count=18, WR=72.2%, Exp=1.611, AvgHold=30.4bars, TP%=72.2%
  A/stop_2 tp_3_wBias: count=18, WR=72.2%, Exp=1.611, AvgHold=30.4bars, TP%=72.2%
  A/stop_2 tp_5: count=18, WR=11.1%, Exp=0.746, AvgHold=38.8bars, TP%=11.1%
  A/stop_2 tp_5_wBias: count=18, WR=11.1%, Exp=0.746, AvgHold=38.8bars, TP%=11.1%
  A/stop_2 tp_7: count=18, WR=0.0%, Exp=0.778, AvgHold=43.7bars, TP%=0.0%
  A/stop_2 tp_7_wBias: count=18, WR=0.0%, Exp=0.778, AvgHold=43.7bars, TP%=0.0%
  A/stop_atr tp_3: count=18, WR=61.1%, Exp=1.368, AvgHold=25.2bars, TP%=61.1%
  A/stop_atr tp_3_wBias: count=18, WR=61.1%, Exp=1.368, AvgHold=25.2bars, TP%=61.1%
  A/stop_atr tp_5: count=18, WR=0.0%, Exp=0.498, AvgHold=33.5bars, TP%=0.0%
  A/stop_atr tp_5_wBias: count=18, WR=0.0%, Exp=0.498, AvgHold=33.5bars, TP%=0.0%
  A/stop_atr tp_7: count=18, WR=0.0%, Exp=0.498, AvgHold=33.5bars, TP%=0.0%
  A/stop_atr tp_7_wBias: count=18, WR=0.0%, Exp=0.498, AvgHold=33.5bars, TP%=0.0%
  B/stop_2 tp_3: count=9, WR=33.3%, Exp=0.084, AvgHold=15.7bars, TP%=33.3%
  B/stop_2 tp_3_wBias: count=9, WR=33.3%, Exp=0.084, AvgHold=15.7bars, TP%=33.3%
  B/stop_2 tp_5: count=9, WR=22.2%, Exp=0.575, AvgHold=21.3bars, TP%=22.2%
  B/stop_2 tp_5_wBias: count=9, WR=22.2%, Exp=0.575, AvgHold=21.3bars, TP%=22.2%
  B/stop_2 tp_7: count=9, WR=11.1%, Exp=0.6, AvgHold=26.6bars, TP%=11.1%
  B/stop_2 tp_7_wBias: count=9, WR=11.1%, Exp=0.6, AvgHold=26.6bars, TP%=11.1%
  B/stop_atr tp_3: count=9, WR=33.3%, Exp=0.669, AvgHold=11.3bars, TP%=33.3%
  B/stop_atr tp_3_wBias: count=9, WR=33.3%, Exp=0.669, AvgHold=11.3bars, TP%=33.3%
  B/stop_atr tp_5: count=9, WR=22.2%, Exp=1.16, AvgHold=17.0bars, TP%=22.2%
  B/stop_atr tp_5_wBias: count=9, WR=22.2%, Exp=1.16, AvgHold=17.0bars, TP%=22.2%
  B/stop_atr tp_7: count=9, WR=11.1%, Exp=1.186, AvgHold=22.2bars, TP%=11.1%
  B/stop_atr tp_7_wBias: count=9, WR=11.1%, Exp=1.186, AvgHold=22.2bars, TP%=11.1%
  C/stop_2 tp_3: count=13, WR=69.2%, Exp=1.462, AvgHold=34.2bars, TP%=69.2%
  C/stop_2 tp_3_wBias: count=13, WR=69.2%, Exp=1.462, AvgHold=34.2bars, TP%=69.2%
