==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  A/stop_atr tp_3_wBias: count=18, WR=33.3%, Exp=-0.113, AvgHold=20.6bars, TP%=33.3%
  A/stop_atr tp_5: count=18, WR=22.2%, Exp=-0.143, AvgHold=21.4bars, TP%=22.2%
  A/stop_atr tp_5_wBias: count=18, WR=22.2%, Exp=-0.143, AvgHold=21.4bars, TP%=22.2%
  A/stop_atr tp_7: count=18, WR=11.1%, Exp=-0.311, AvgHold=27.8bars, TP%=11.1%
  A/stop_atr tp_7_wBias: count=18, WR=11.1%, Exp=-0.311, AvgHold=27.8bars, TP%=11.1%
  B/stop_2 tp_3: count=9, WR=33.3%, Exp=-0.333, AvgHold=19.8bars, TP%=33.3%
  B/stop_2 tp_3_wBias: count=9, WR=33.3%, Exp=-0.333, AvgHold=19.8bars, TP%=33.3%
  B/stop_2 tp_5: count=9, WR=22.2%, Exp=-0.444, AvgHold=21.6bars, TP%=22.2%
  B/stop_2 tp_5_wBias: count=9, WR=22.2%, Exp=-0.444, AvgHold=21.6bars, TP%=22.2%
  B/stop_2 tp_7: count=9, WR=11.1%, Exp=-0.794, AvgHold=29.1bars, TP%=11.1%
  B/stop_2 tp_7_wBias: count=9, WR=11.1%, Exp=-0.794, AvgHold=29.1bars, TP%=11.1%
  B/stop_atr tp_3: count=9, WR=33.3%, Exp=0.039, AvgHold=14.1bars, TP%=33.3%
  B/stop_atr tp_3_wBias: count=9, WR=33.3%, Exp=0.039, AvgHold=14.1bars, TP%=33.3%
  B/stop_atr tp_5: count=9, WR=22.2%, Exp=0.003, AvgHold=15.9bars, TP%=22.2%
  B/stop_atr tp_5_wBias: count=9, WR=22.2%, Exp=0.003, AvgHold=15.9bars, TP%=22.2%
  B/stop_atr tp_7: count=9, WR=11.1%, Exp=-0.346, AvgHold=23.4bars, TP%=11.1%
  B/stop_atr tp_7_wBias: count=9, WR=11.1%, Exp=-0.346, AvgHold=23.4bars, TP%=11.1%
  C/stop_2 tp_3: count=10, WR=20.0%, Exp=-1.0, AvgHold=30.4bars, TP%=20.0%
  C/stop_2 tp_3_wBias: count=10, WR=20.0%, Exp=-1.0, AvgHold=30.4bars, TP%=20.0%
  C/stop_2 tp_5: count=10, WR=0.0%, Exp=-2.0, AvgHold=30.6bars, TP%=0.0%
